idx,pattern,mean_loss,std_loss
745,stable,0.046040427,0.07505819
746,stable,0.060199488,0.13805912
747,stable,0.029632496,0.0076100677
748,rising,0.06511685,0.15624744
749,rising,0.04154279,0.078575104
750,rising,0.032941185,0.012535671
751,rising,0.048486866,0.095896125
752,rising,0.034234665,0.015386542
753,rising,0.036589637,0.08099442
754,stable,0.021228587,0.006132002
755,stable,0.02578388,0.030849127
756,stable,0.02230606,0.0153093515
757,stable,0.03816432,0.07439206
758,stable,0.02802024,0.021458874
759,stable,0.020816483,0.019713387
760,falling,0.030431857,0.09768669
761,falling,0.015177144,0.016244566
762,falling,0.039514586,0.099296436
763,falling,0.025162827,0.011269047
764,falling,0.035690475,0.025606493
765,stable,0.043625407,0.019613704
766,stable,0.043380797,0.028066454
767,stable,0.044979528,0.030924354
768,stable,0.041200563,0.012917577
769,stable,0.06701254,0.13036725
770,stable,0.063759856,0.012945294
771,rising,0.07072968,0.015090364
772,rising,0.06761556,0.01566603
773,rising,0.09030666,0.12443301
774,rising,0.07614209,0.014177641
775,rising,0.06053312,0.008955094
776,rising,0.047051433,0.0063616787
777,rising,0.047784127,0.017791612
778,stable,0.050000746,0.012837261
779,stable,0.059628963,0.016888378
780,stable,0.060696013,0.021861725
781,stable,0.07566403,0.0194672
782,stable,0.06647075,0.06885427
783,stable,0.07876825,0.10218381
784,stable,0.05763566,0.036756914
785,falling,0.048855197,0.030744031
786,falling,0.08551519,0.15849291
787,falling,0.12996982,0.17486651
788,falling,0.13055833,0.15962106
789,falling,0.09537326,0.048965577
790,stable,0.11264302,0.2321877
791,stable,0.06531225,0.03886749
792,stable,0.100371346,0.24950714
793,stable,0.06609664,0.03618865
794,stable,0.10132697,0.26693812
795,stable,0.09380589,0.23184398
796,rising,0.07139299,0.07143257
797,rising,0.067238614,0.06972929
798,rising,0.07177951,0.08279799
799,rising,0.03292135,0.042710114
800,rising,0.03947625,0.06875663
801,stable,0.04193052,0.054159056
802,stable,0.04926354,0.06125129
803,stable,0.043989785,0.019711806
804,stable,0.044566277,0.022273976
805,stable,0.04859031,0.022917558
806,stable,0.049130756,0.02401878
807,stable,0.06996303,0.083579086
808,falling,0.05459451,0.020117436
809,falling,0.06847904,0.04013108
810,falling,0.08194061,0.13316193
811,falling,0.04391026,0.029745415
812,falling,0.04923379,0.036896065
813,falling,0.032521028,0.0132488785
814,stable,0.03569221,0.0696631
815,stable,0.031114498,0.026855014
816,stable,0.035606984,0.012549183
