idx,pattern,mean_loss,std_loss
602,stable,0.039640784,0.00928022
603,rising,0.054097734,0.10943115
604,rising,0.03173905,0.008358795
605,rising,0.027277566,0.0073677916
606,rising,0.031826023,0.017260699
607,rising,0.0396769,0.011523843
608,rising,0.035199035,0.009414388
609,rising,0.038750287,0.03714381
610,stable,0.053242262,0.0209786
611,stable,0.06795446,0.015815245
612,stable,0.06659821,0.098873004
613,stable,0.09584513,0.31107926
614,stable,0.06499327,0.13473229
615,stable,0.047743794,0.013529385
616,falling,0.064222254,0.098077044
617,falling,0.07769613,0.062120344
618,falling,0.07070871,0.011304645
619,falling,0.06537172,0.015083572
620,falling,0.0669371,0.031504553
621,falling,0.070611805,0.037504084
622,falling,0.058058675,0.0126784295
623,stable,0.06657971,0.019521581
624,stable,0.06552562,0.015002874
625,stable,0.10181454,0.18663006
626,stable,0.10175899,0.17075521
627,rising,0.052743997,0.015532932
628,rising,0.07975073,0.102904275
629,rising,0.038929824,0.03948352
630,rising,0.05401095,0.044078223
631,rising,0.05451946,0.053232703
632,rising,0.045977168,0.016203968
633,rising,0.03742995,0.023115933
634,stable,0.050330706,0.06928234
635,stable,0.049178295,0.07342558
636,stable,0.04896397,0.07405435
637,stable,0.0491509,0.017365722
638,stable,0.050631687,0.013986218
639,stable,0.038485833,0.011768596
640,falling,0.039732948,0.026067672
641,falling,0.07078142,0.17383125
642,falling,0.03894677,0.0062967506
643,falling,0.038713112,0.013346155
644,falling,0.03765426,0.009568863
645,falling,0.051644497,0.019512093
646,falling,0.038381446,0.06828413
647,stable,0.030901572,0.007998937
648,stable,0.031701587,0.0054253708
649,stable,0.0282556,0.009122673
650,stable,1.4250579,0.04657606
651,stable,2.0506294,0.10725334
652,rising,2.4720647,0.14780228
653,rising,2.6273892,0.15698816
654,rising,2.8625977,0.16786465
655,rising,2.9223993,0.10614296
656,rising,2.798083,0.16438894
657,rising,2.72228,0.14403017
658,stable,2.9021063,0.1646963
659,stable,2.9644933,0.09407122
660,stable,2.8305821,0.105578214
661,stable,2.9944303,0.1383249
662,spike,0.10101044,0.14052545
663,spike,0.13303871,0.2055569
664,spike,0.19406685,0.3520728
665,spike,0.13325341,0.21259114
666,spike,0.08940935,0.12725712
667,spike,0.051965937,0.04273675
668,spike,0.042309623,0.014208679
669,spike,0.051173706,0.007415599
670,spike,0.086798325,0.022696089
671,spike,0.09314387,0.025803259
672,spike,0.08541337,0.022866748
673,falling,0.08309432,0.025176603
674,falling,0.092331395,0.018443856
675,stable,0.07323088,0.0352195
676,stable,0.048225366,0.04447948
677,stable,0.035243105,0.013147965
678,rising,0.044479374,0.024683919
679,rising,0.048111662,0.013937766
680,rising,0.08313171,0.028187387
681,stable,0.06543579,0.042068955
682,stable,0.06071285,0.024243034
683,stable,0.07936592,0.03364438
684,stable,0.06325309,0.015709855
685,stable,0.06102697,0.011636825
686,stable,0.056501567,0.010080383
687,stable,0.106913425,0.13963164
688,stable,0.112782106,0.054369826
689,falling,0.0972339,0.024672322
690,falling,0.11847778,0.036976706
691,falling,0.117351405,0.035328995
692,falling,0.16383082,0.037857622
693,stable,0.08985714,0.024522858
694,stable,0.103165574,0.106347494
695,stable,0.11830963,0.14146578
696,stable,0.084790014,0.02702924
697,stable,0.058605023,0.016308516
698,stable,0.06286018,0.01743751
699,rising,0.075210586,0.0903761
